230518_1,群馬県,平成２３年５月,01,23,5,18,定例,平成２３年　　５月　定例会05月18日-01号,,,,,平成２３年　５月　定例会,NULL,NULL,NULL
230518_2,群馬県,平成２３年５月,01,23,5,18,定例,平成２３年　　５月　定例会05月18日-01号,,,,,群馬県議会会議録　　第１号,NULL,NULL,NULL
230518_3,群馬県,平成２３年５月,01,23,5,18,定例,平成２３年　　５月　定例会05月18日-01号,,,,,平成23年５月18日　　　　　　　　出席議員　50人　欠席議員　０人　欠員　０人,NULL,NULL,NULL
230518_4,群馬県,平成２３年５月,01,23,5,18,定例,平成２３年　　５月　定例会05月18日-01号,,,,,中村紀雄　　（出席）　　　　　　　関根圀男　　（出席）,NULL,NULL,NULL
230518_5,群馬県,平成２３年５月,01,23,5,18,定例,平成２３年　　５月　定例会05月18日-01号,,,,,中沢丈一　　（出席）　　　　　　　腰塚　誠　　（出席）,NULL,NULL,NULL
230518_6,群馬県,平成２３年５月,01,23,5,18,定例,平成２３年　　５月　定例会05月18日-01号,,,,,塚越紀一　　（出席）　　　　　　　南波和憲　　（出席）,NULL,NULL,NULL
230518_7,群馬県,平成２３年５月,01,23,5,18,定例,平成２３年　　５月　定例会05月18日-01号,,,,,黒沢孝行　　（出席）　　　　　　　松本耕司　　（出席）,NULL,NULL,NULL
230518_8,群馬県,平成２３年５月,01,23,5,18,定例,平成２３年　　５月　定例会05月18日-01号,,,,,久保田順一郎（出席）　　　　　　　星野　寛　　（出席）,NULL,NULL,NULL
230518_9,群馬県,平成２３年５月,01,23,5,18,定例,平成２３年　　５月　定例会05月18日-01号,,,,,須藤昭男　　（出席）　　　　　　　岩井　均　　（出席）,NULL,NULL,NULL
230518_10,群馬県,平成２３年５月,01,23,5,18,定例,平成２３年　　５月　定例会05月18日-01号,,,,,大沢幸一　　（出席）　　　　　　　田所三千男　（出席）,NULL,NULL,NULL
230518_11,群馬県,平成２３年５月,01,23,5,18,定例,平成２３年　　５月　定例会05月18日-01号,,,,,塚原　仁　　（出席）　　　　　　　村岡隆村　　（出席）,NULL,NULL,NULL
230518_12,群馬県,平成２３年５月,01,23,5,18,定例,平成２３年　　５月　定例会05月18日-01号,,,,,織田沢俊幸　（出席）　　　　　　　狩野浩志　　（出席）,NULL,NULL,NULL
230518_13,群馬県,平成２３年５月,01,23,5,18,定例,平成２３年　　５月　定例会05月18日-01号,,,,,新井雅博　　（出席）　　　　　　　福重隆浩　　（出席）,NULL,NULL,NULL
230518_14,群馬県,平成２３年５月,01,23,5,18,定例,平成２３年　　５月　定例会05月18日-01号,,,,,橋爪洋介　　（出席）　　　　　　　岩上憲司　　（出席）,NULL,NULL,NULL
230518_15,群馬県,平成２３年５月,01,23,5,18,定例,平成２３年　　５月　定例会05月18日-01号,,,,,舘野英一　　（出席）　　　　　　　萩原　渉　　（出席）,NULL,NULL,NULL
230518_16,群馬県,平成２３年５月,01,23,5,18,定例,平成２３年　　５月　定例会05月18日-01号,,,,,星名建市　　（出席）　　　　　　　大林俊一　　（出席）,NULL,NULL,NULL
230518_17,群馬県,平成２３年５月,01,23,5,18,定例,平成２３年　　５月　定例会05月18日-01号,,,,,伊藤祐司　　（出席）　　　　　　　茂木英子　　（出席）,NULL,NULL,NULL
230518_18,群馬県,平成２３年５月,01,23,5,18,定例,平成２３年　　５月　定例会05月18日-01号,,,,,角倉邦良　　（出席）　　　　　　　井田　泉　　（出席）,NULL,NULL,NULL
